"filename", "language", "JSON", "Minecraft Function", "Markdown", "CSV", "comment", "blank", "total"
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\miningxp\foragingxp\spruce.mcfunction", "Minecraft Function", 0, 18, 0, 0, 0, 5, 23
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\miningxp\forestingxp.mcfunction", "Minecraft Function", 0, -120, 0, 0, 0, -2, -122
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\miningxp\get_fishing\get_fishing.mcfunction", "Minecraft Function", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\miningxp\get_fishing\get_fishing_id.mcfunction", "Minecraft Function", 0, 3, 0, 0, 1, 2, 6
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\miningxp\miningxp.mcfunction", "Minecraft Function", 0, -158, 0, 0, 1, -2, -159
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\miningxp\miningxp\basalt.mcfunction", "Minecraft Function", 0, 18, 0, 0, 0, 3, 21
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\miningxp\miningxp\cobblestone.mcfunction", "Minecraft Function", 0, 18, 0, 0, 0, 3, 21
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\miningxp\miningxp\levelup.mcfunction", "Minecraft Function", 0, 8, 0, 0, 0, 3, 11
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\miningxp\miningxp\set_goals.mcfunction", "Minecraft Function", 0, 101, 0, 0, 0, 0, 101
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\miningxp\miningxp\stone.mcfunction", "Minecraft Function", 0, 23, 0, 0, 0, 6, 29
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\miningxp\set_all_goals.mcfunction", "Minecraft Function", 0, 4, 0, 0, 0, 1, 5
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\sonstiges-always\level.mcfunction", "Minecraft Function", 0, -84, 0, 0, 7, -30, -107
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\sonstiges-always\level\stage_1_basalt.mcfunction", "Minecraft Function", 0, 13, 0, 0, 0, 1, 14
