"filename", "language", "JSON", "MCMETA", "mcfunction", "comment", "blank", "total"
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\mystery\barriere_stab_particle\rotate_y.mcfunction", "mcfunction", 0, 0, 5, 2, 5, 12
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\mystery\barriere_stab_particle\start.mcfunction", "mcfunction", 0, 0, 5, 2, 7, 14
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\mystery\excalibur.mcfunction", "mcfunction", 0, 0, 14, 0, 3, 17
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\mystery\excalibur\damage.mcfunction", "mcfunction", 0, 0, 1, 0, 0, 1
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\mystery\excalibur\start.mcfunction", "mcfunction", 0, 0, 7, 1, 6, 14
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\mystery\excalibur\summon_sword.mcfunction", "mcfunction", 0, 0, 6, 0, 5, 11
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\mystery\tp_sword.mcfunction", "mcfunction", 0, 0, 14, 0, 3, 17
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\mystery\zerberster.mcfunction", "mcfunction", 0, 0, 15, 0, 3, 18
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\rettungs-plattform\block-clear.mcfunction", "mcfunction", 0, 0, 1, 0, 0, 1
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\rettungs-plattform\rettungs-plattform-always.mcfunction", "mcfunction", 0, 0, 12, 0, 4, 16
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\rettungs-plattform\rettungs-plattform-blockplace.mcfunction", "mcfunction", 0, 0, 13, 0, 3, 16
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\rettungs-plattform\rettungs-plattform-damage.mcfunction", "mcfunction", 0, 0, 1, 0, 2, 3
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\rettungs-plattform\rettungs-plattform.mcfunction", "mcfunction", 0, 0, 2, 10, 2, 14
